HCPCS,Modifier,Description,,Billing Unit,Rental Rate,Purchase Rate,Comments
E2203,NU/RR,"Wheelchair seat, non-standard width 20 - 21 inches",,Each/Month,15,150,
E2204,NU/RR,"Wheelchair seat, non-standard width 22 - 25 inches",,Each/Month,17.5,175,
E2205,NU,"Manual wheelchair accessory, hand rim",,Each,,30.1,
E2206,NU,Complete wheel lock assembly,,Each,,39.8,
E2208,NU/RR,Cylinder tank carrier,,Each/Month,11.2,112,
E2209,NU,Arm trough each,,Each,,101.15,
E2210,NU,Wheelchair bearings,,Each,,6.3,
E2211,NU,"Manual wheelchair accessory, pneumatic propulsion tire",,Each,,35.5,
E2212,NU,"Manual wheelchair accessory, pneumatic prop tire tube",,Each,,5.5,
E2213,NU,"Manual wheelchair accessory, pneumatic prop tire insert",,Each,,31,
E2214,NU,"Manual wheelchair accessory, pneumatic caster tire each",,Each,,30.35,
E2215,NU,"Manual wheelchair accessory, pneumatic caster tire tube",,Each,,10.5,
"E2216-
E2218",NU,Manual wheelchair accessories,,Each,,Retail less 36%,
E2219,NU,"Manual wheelchair accessory, foam caster tire any size ea.",,Each,,42.25,
E2220,NU,"Manual wheelchair accessory, solid propulsion tire each",,Each,,26.6,
E2221,NU,"Manual wheelchair accessory, solid caster tire each",,Each,,27.75,
E2222,NU,"Manual wheelchair accessory, solid caster integrated wheel",,Each,,23.15,
E2223,NU,"Manual wheelchair accessory, replacement valve",,Each,,Retail less 36%,
E2224,NU,Propulsion wheel excludes tire,,Each,,98.45,
E2225,NU,Caster wheel excludes tire,,Each,,19.4,
E2226,NU,Caster fork replacement only,,Each,,41,
E2228,NU,"Manual wheelchair accessory, wheelchair brake",,Each,,865.9,Certification required
E2231,NU,"Manual wheelchair accessory, solid seat support base",,Each,,144.9,
E2291-E2295,NU,Pediatric wheelchair accessories,,Each,,Retail less 36%,Certification required
E2310,NU,"Power wheelchair accessory, electronic connection between controller and 1 power seating system motor",,Each,,1122.7,Certification required
E2311,NU,"Power wheelchair accessory, electronic connection between controller and 2 or more power seat system motors",,Each,,2273.3,Certification required
E2312,NU,"Power wheelchair accessory, mini-prop remote joystick",,Each,,Retail less 36%,Certification required
E2313,NU,"Wheelchair accessory, harness, expand control",,Each,,Retail less 36%,Certification required
E2321,NU,"Power wheelchair accessory, hand control interface, remote joystick",,Each,,Retail less 36%,Certification required
E2322,NU,"Power wheelchair accessory, hand control
interface, multiple mechanical switches",,Each,,Retail less 36%,Certification required
E2323,NU,"Power wheelchair accessory, special joystick handle",,Each,,66.4,Certification required
E2324,NU,"Power wheelchair accessory, chin cup interface",,Each,,42.05,Certification required
E2325,NU,"Power wheelchair accessory, sip and puff interface",,Each,,Retail less 36%,Certification required
E2326,NU,"Power wheelchair accessory, breath tube kit for sip and puff interface",,Each,,Retail less 36%,Certification required
E2327,NU,"Power wheelchair accessory, head control interface, mechanical",,Each,,Retail less 36%,Certification required
E2328,NU,"Power wheelchair accessory, head control or
extremity control interface, electronic",,Each,,Retail less 36%,Certification required
E2329,NU,"Power wheelchair accessory, head control interface, contact switch
mechanism",,Each,,Retail less 36%,Certification required
E2330,NU,"PWC accessory, head control interface, proximity switch mechanism",,Each,,Retail less 36%,Certification required
E2340,NU,"Power wheelchair accessory, 20 - 24-inch width seat frame",,Each,,398.95,
E2341,NU,"Power wheelchair accessory, 24 - 27-inch width seat frame",,Each,,598.45,
E2342,NU,"Power wheelchair accessory, 20 - 21-inch depth seat frame",,Each,,498.75,
E2343,NU,"Power wheelchair accessory, 22 - 25-inch depth seat frame",,Each,,797.95,
E2351,NU,"Power wheelchair accessory, electronic interface to operate speech generating device using PWC control interface",,Each,,Retail less 36%,Certification required
E2359,NU,"Power wheelchair accessory, Group 34 sealed lead acid battery",,Each,,193.3,
E2360,NU,"Power wheelchair accessory, 22 NF non-sealed lead acid",,Each,,148,Certification required. Covered by PHA and YCCO. All other LOB not covered.
E2361,NU,"Power wheelchair accessory, 22 NF sealed lead acid battery (gel cell)",,Each,,131.6,
E2362,NU,"Power wheelchair accessory, group 24 non-sealed lead acid battery",,Each,,100.7,Certification required
E2363,NU,"Power wheelchair accessory, group 24 sealed lead acid battery (gel cell)",,Each,,175.5,
E2365,NU,"Power wheelchair accessory, u-1 sealed lead acid battery (gel cell)",,Each,,105.85,
E2366,NU,Battery charger for electric wheelchair,,Each,,252.95,
E2367,NU,Battery charger for electric wheelchair - dual,,Each,,402.1,Certification required
E2368,NU,"Power Wheelchair component, drive wheel motor, replacement only",,Each,,521.7,
E2369,NU,"Power Wheelchair component, drive wheel gear box, replacement only",,Each,,431.9,
E2370,NU,"Power wheelchair component; integrated drive wheel motor and gear box combination, replacement only",,Each,,770.4,
E2371,NU,"Power wheelchair accessory, group 27 sealed lead acid battery (gel cell)",,Each,,142.1,
E2372,NU,"Power wheelchair accessory, group 27 non-sealed lead acid battery",,Each,,Retail less 36%,Certification required. Not covered all LOB.
E2373,NU,"Power wheelchair accessory, hand or chin
control interface, compact remote joystick",,Each,,Retail less 36%,Certification required
E2374,NU,"Power wheelchair accessory, hand or chin control interface, standard
remote joystick",,Each,,Retail less 36%,Certification required
E2375,NU,"Power wheelchair accessory, nonexpendable controller, replacement only",,Each,,821.7,Certification required
E2376,NU,"Power wheelchair accessory, expandable controller, replacement only",,Each,,Retail less 36%,Certification required
E2377,NU,"Power wheelchair accessory, expandable
controller, provided at initial issue",,Each,,Retail less 36%,Certification required
E2378,NU,"Power wheelchair component, actuator, replacement only",,Each,,Retail less 36%,Certification required
E2381,NU,"Power wheelchair accessory, pneumatic drive wheel tire",,Each,,71.85,
E2382,NU,"Power wheelchair accessory, tube for pneumatic drive wheel tire",,Each,,19.6,
E2383,NU,"Power wheelchair accessory, insert for pneumatic drive wheel tire",,Each,,143.3,
E2384,NU,"Power wheelchair accessory, pneumatic caster tire",,Each,,76.4,
E2385,NU,"Power wheelchair accessory, tube for pneumatic caster tire",,Each,,46.7,
E2386,NU,"Power wheelchair accessory, foam filled drive wheel tire",,Each,,142,
E2387,NU,"Power wheelchair accessory, foam filled caster tire",,Each,,61.3,
E2388,NU,"Power wheelchair accessory, foam drive wheel tire",,Each,,48.35,
E2389,NU,"Power wheelchair accessory, foam caster tire",,Each,,26.25,
E2390,NU,"Power wheelchair accessory, solid drive wheel tire",,Each,,41.05,
E2391,NU,"Power wheelchair accessory, solid caster tire",,Each,,19.65,
E2392,NU,"Power wheelchair accessory, solid caster tire with integrated wheel",,Each,,51.7,
E2394,NU,"Power wheelchair accessory, drive wheel excludes tire",,Each,,73.65,
E2395,NU,"Power wheelchair accessory, caster wheel excludes tire",,Each,,52.35,
E2396,NU,"Power wheelchair accessory, caster fork",,Each,,63.8,
E2397,NU,"Power wheelchair accessory, lithium-based
battery",,Each,,461.05,
E2601-E2610,NU,Wheelchair seat cushion,,Each,,Retail less 36%,"Certification required, except for
E2601 and E2602"
E2611-E2621,NU,Wheelchair back cushion,,Each,,Retail less 36%,"Certification required, except for
E2611 and E2612"
E2622-E2623,NU,Skin protection wheelchair cushion,,Each,,Retail less 36%,Certification required
E2624-E2625,NU,Skin protection and positioning wheelchair cushion,,Each,,Retail less 36%,Certification required
E2626,NU,"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable",,Each,,691.5,Certification required
E2627,NU,"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable rancho type",,Each,,1103.35,Certification required
E2628,NU,"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, reclining",,Each,,831.2,Certification required
E2629,NU,"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, friction dampening arm
support",,Each,,1051.9,Certification required
E2630,NU,"WC ace, shoulder elbow, mobile arm spt, mono susp arm/hand spt, overhead elbow forearm hand sling spt, yoke type susp spt",,Each,,735.6,Certification required
E2631,NU,"Wheelchair accessory, addition to mobile arm support, elevating proximal
arm",,Each,,250.1,Certification required
E2632,NU,"Wheelchair accessory, addition to mobile arm support, offset or lateral rocker arm with elastic balance control",,Each,,159,Certification required
E2633,NU,"Wheelchair accessory, addition to mobile arm support, supinator",,Each,,158.7,Certification required
K0001,NU/RR,"Manual wheelchair, standard adult, fixed/removeable arms,
standard footrest",,Each/Month,40,400,Certification required
K0002,NU/RR,"Manual wheelchair, standard hemi, fixed/removeable arms,
standard footrest",,Each/Month,40,400,Certification required
K0003,NU/RR,"MWC, lightweight, fixed/removeable arms, standard footrest",,Each/Month,45.95,505.45,Certification required
K0004,NU/RR,"MWC, high-strength lightweight,
fixed/removeable arms, std footrest",,Each/Month,45.25,452.5,Certification required
K0005,NU/RR,"Manual wheelchair, ultra-lightweight (special sizing)",,Each/Month,202.4,2024,Certification required
K0006,NU/RR,"MWC, heavy duty, fixed/removeable arms, standard footrest",,Each/Month,94.8,948,Certification required
K0007,NU/RR,"Manual wheelchair, extra-heavy duty, fixed/removeable arms,
standard footrest",,Each/Month,134.9,1349,Certification required
K0009,NU,Other manual wheelchair base,,Each,,Quote,Certification required
K0015,NU,"Detachable, non-adjustable height armrest",,Each,,171.3,
K0017,NU,"Detachable, adjustable height armrest base",,Each,,48.2,
K0018,NU,"Detachable, adjustable height armrest, upper portion",,Each,,26.95,
K0019,NU,Arm pad,,Each,,16.5,
K0020,NU,"Fixed, adjustable height armrest, pair",,Pair,,43.85,
K0037,NU,High mount flip-up footrest,,Each,,46.2,
K0038,NU,Leg strap each,,Each,,22.9,
K0039,NU,Leg strap h style each,,Each,,50.85,
K0040,NU,Adjustable angle footplate,,Each,,70.45,
K0041,NU,Large size footplate each,,Each,,50,
K0042,NU,Standard size footplate each,,Each,,29.75,
K0043,NU,Footrest lower extension tube,,Each,,18.45,
K0044,NU,Footrest upper hanger bracket,,Each,,15.7,
K0045,NU,Footrest complete assembly,,Each,,54.3,
K0046,NU,Elevating leg rest low extension,,Each,,18.45,
K0047,NU,Elevating leg rest upper hanger bracket,,Each,,72.15,
K0050,NU,Ratchet assembly,,Each,,29.6,
K0051,NU,"Cam release assembly, footrest or leg rest",,Each,,49.6,
K0052,NU/RR,Swing away detachable footrest,,Each,,87.5,
K0053,NU/RR,"Elevating footrest, articulating",,Each/Month,9.65,96.5,
K0056,NU,"Seat height under 17 inches, or 21 inches or greater for a high strength, lightweight, or ultralightweight wheelchair",,Each,,104.1,
K0065,NU,Spoke protectors,,Each,,48.7,
K0069,NU,"Rear wheel assembly, complete, with solid tire, spokes or molded",,Each,,109.35,
K0070,NU,"Rear wheel assembly, complete, with pneumatic tire, spokes or molded",,Each,,200.6,
K0071,NU,"Front caster assembly, complete, with pneumatic tire",,Each,,119.55,
K0072,NU,"Front caster assembly, complete, with semi-pneumatic tire",,Each,,67.65,
K0073,NU,Caster pin lock,,Each,,36.65,
K0077,NU,"Front caster assembly, complete, with solid tire",,Each,,64.4,
K0098,NU,Drive belt power for wheelchair,,Each,,24.9,
K0105,NU,Iv hanger,,Each,,108.85,HS Certification required
K0108,NU/RR,"Wheelchair component or accessory, not otherwise specified",,Each/Month,Retail less 36%,Retail less 36%,Certification required
K0195,NU/RR,Elevating leg rests,,Pair/Month,10.9,109,
K0462,RR,"Temporary replacement for patient owned equipment being repaired, any type",,Month,Retail less 25%,,Certification required
K0669,NU,"Wheelchair seat or back cushion, no coding from SADME",,Each,,Retail less 36%,Certification required
K0738,RR,Portable gas oxygen system (Home fill),,Month,26.45,,Certification required
K0739,NU,"Labor, repair DME other than Oxygen",,per15 minutes,,"$15.40
per 15 min",Certification required when billed by itself
K0740,NU,Repair for Oxygen Equipment,,per15 minutes,,"$15.40
per 15 min",
K0800,NU,"Power operated vehicle (scooter), group 1 standard, capacity up to and including
300 lbs.",,Each,,Retail less 37%,Certification required
K0801,NU,"Power operated vehicle (scooter), group 1 heavy duty, capacity 301 - 450 lbs.",,Each,,Retail less 37%,Certification required
K0802,NU,"Power operated vehicle (scooter), group 1 very
heavy duty, capacity 451 - 600 lbs.",,Each,,Retail less 37%,Certification required
K0806,NU,"Power operated vehicle (scooter), group 2 standard,
capacity up to and including 300 lbs.",,Each,,1564,Certification required
K0807,NU,"Power operated vehicle (scooter), group 2 heavy duty, capacity 301 - 450 lbs.",,Each,,2373,Certification required
K0813,NU,"Power wheelchair, group 1 standard, portable, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,2405.1,Certification required
K0814,NU,"Power wheelchair, group 1 standard, portable, captains
chair, capacity up to and including 300 lbs.",,Each,,2487.55,Certification required
K0815,NU,"Power wheelchair, group 1 standard, sling/solid seat and back, capacity up to
and including 300 lbs.",,Each,,2744.75,Certification required
K0816,NU,"Power wheelchair, group 1 standard, captains chair, capacity up to and including
300 lbs.",,Each,,2545.2,Certification required
K0820,NU,"Power wheelchair, group 2 standard, portable, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,2470.75,Certification required
K0821,NU,"Power wheelchair, group 2 standard, portable, captains
chair, capacity up to and including 300 lbs.",,Each,,2549.7,Certification required
K0822,NU,"Power wheelchair, group 2 standard, portable, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,2741.9,Certification required
K0823,NU,"Power wheelchair, group 2 standard, captains chair, capacity up to and including
300 lbs.",,Each,,2551.6,Certification required
K0824,NU,"Power wheelchair, group 2 heavy duty, sling/solid seat
and back, capacity 301 - 450 lbs.",,Each,,3932.65,Certification required
K0825,NU,"Power wheelchair, group 2 heavy duty, captains chair, capacity 301 - 450 lbs.",,Each,,3643.7,Certification required
K0826,NU,"Power wheelchair, group 2 very heavy duty, sling/solid seat and back, capacity 451
to 600 lbs.",,Each,,6658.35,Certification required
K0827,NU,"Power wheelchair, group 2 very heavy duty, captains chair, capacity 451 to 600
lbs.",,Each,,5817.75,Certification required
K0828,NU,"Power wheelchair, group 2 extra heavy duty, sling/solid
seat and back, capacity 601 lbs. or more",,Each,,Retail less 36%,Certification required
K0829,NU,"Power wheelchair, group 2 extra heavy duty, captains chair, 601 lbs. or more",,Each,,Retail less 36%,Certification required
K0830,NU,"Power wheelchair, group 2 standard, seat elevator, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,Retail less 36%,Certification required
K0831,NU,"Power wheelchair, group 2 standard, seat elevator, captains chair, patient weight capacity up to and including 300 lbs.",,Each,,Retail less 36%,Certification required
K0835,NU,"PWC, group 2 standard, single power option, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,2905.95,Certification required
K0836,NU,"PWC, group 2 standard, single power option, captain's chair, capacity up
to and including 300 lbs.",,Each,,3014.1,Certification required
K0837,NU,"Power wheelchair, group 2 heavy duty, single power option, sling/solid seat and back, capacity 301 to 450
lh?",,Each,,3727.3,Certification required
K0838,NU,"Power wheelchair, group 2 heavy duty, single power option, captain's chair,
capacity 301 to 450 lbs.",,Each,,3303.55,Certification required
K0839,NU,"Power wheelchair, group 2 very heavy duty, single power option, sling/solid seat and back, capacity 451
to nOO lh?",,Each,,Retail less 36%,Certification required
K0840,NU,"Power wheelchair, group 2 extra heavy duty, single power option, sling/solid seat and back, capacity 601
lh? or more",,Each,,Retail less 36%,Certification required
K0841,NU,"PWC, group 2 standard, multiple power option, sling/solid seat and back, capacity up to and including
1001h?",,Each,,3274.8,Certification required
K0842,NU,"Power wheelchair, group 2 standard, multiple power option, captains chair, capacity up to and including
1001h?",,Each,,3270.05,Certification required
K0843,NU,"Power wheelchair, group 2 heavy duty, multiple power option, sling/solid seat and back, capacity 301 to 450
lh?",,Each,,3881.9,Certification required
K0848,NU,"Power wheelchair, group 3 standard, sling/solid seat and back, capacity up to
and including 300 lbs.",,Each,,5549,Certification required
K0849,NU,"Power wheelchair, group 3 standard, captain's chair, capacity up to and including 300 lbs.",,Each,,5335,Certification required
K0850,NU,"Power wheelchair, group 3 heavy duty, sling/solid seat and back, capacity 301 to
450 lbs.",,Each,,6436,Certification required
K0851,NU,"Power wheelchair, group 3 heavy duty, captain's chair, capacity 301 to 450 lbs",,Each,,6188,Certification required
K0852,NU,"Power wheelchair, group 3 very heavy duty, sling/solid seat and back, capacity 451
to 600 lbs.",,Each,,Retail less 36%,Certification required
K0853,NU,"Power wheelchair, group 3 very heavy duty, captain's chair, capacity 451 to 600 lbs.",,Each,,Retail less 36%,Certification required
K0854,NU,"Power wheelchair, group 3 extra heavy duty, sling/solid
seat and back, capacity 601 lbs. or more",,Each,,Retail less 36%,Certification required
K0855,NU,"Power wheelchair, group 3 extra heavy duty, captain's chair, capacity 601 lbs. or
more",,Each,,Retail less 36%,Certification required
K0856,NU,"Power wheelchair, group 3 standard, single power option, sling/solid seat and back, capacity up to and including 300 lbs.",,Each,,5956,Certification required
K0857,NU,"PWC, group 3 standard, single power option,
captain's chair, capacity up to and including 300 lbs.",,Each,,6075,Certification required
K0858,NU,"PWC, group 3 heavy duty, single power option, sling/solid seat and back,
capacity 301 to 450 lbs.",,Each,,7389,Certification required
K0859,NU,"Power wheelchair, group 3 heavy duty, single power option, captain's chair,
capacity 301 to 450 lbs.",,Each,,7047,Certification required
K0860,NU,"Power wheelchair, group 3 very heavy duty, single power option, sling/solid seat and back, capacity 451
to hnn lh?",,Each,,10557,Certification required
K0861,NU,"PWC, group 3 standard, multiple power option, sling/solid seat and back, capacity up to and including
1nn1h?",,Each,,5965,Certification required
K0862,NU,"Power wheelchair, group 3 heavy duty, multiple power option, sling/solid seat and back, capacity 301 to 450
lh?",,Each,,7389,Certification required
K0863,NU,"Power wheelchair, group 3 very heavy duty, multiple power option, sling/solid seat and back, capacity 451
to ?.flfl Inc",,Each,,10557,Certification required
K0864,NU,"Power wheelchair, group 3 extra heavy duty, multiple power option, sling/solid seat and back, capacity 601
Inc nr mnrP",,Each,,Retail less 36%,Certification required
K0868,NU,"PWC, group 4 standard, sling/solid seat and back, capacity up to and including
300 lbs.",,Each,,Retail less 36%,Certification required
K0869,NU,"Power wheelchair, group 4 standard, captain's chair, capacity up to and including
300 lbs.",,Each,,Retail less 36%,Certification required
K0870,NU,"Power wheelchair, group 4 heavy duty, sling/solid seat
and back, capacity 301 to 450 lbs.",,Each,,Retail less 36%,Certification required
K0871,NU,"Power wheelchair, group 4 very heavy duty, sling/solid seat and back, capacity 451
to 600 lbs.",,Each,,Retail less 36%,Certification required
K0877,NU,"Power wheelchair, group 4 standard, single power option, sling/solid seat and back, capacity up to and
inch 1rlina 1nn lhc:",,Each,,Retail less 36%,Certification required
K0878,NU,"Power wheelchair, group 4 standard, single power option, captain's chair,
capacity up to and including 1nn1hc:",,Each,,Retail less 36%,Certification required
K0879,NU,"Power wheelchair, group 4 heavy duty, single power option, sling/solid seat and back, capacity 301 to 450
lhc:",,Each,,Retail less 36%,Certification required
K0880,NU,"Power wheelchair, group 4 very heavy duty, single power option, sling/solid seat and back, capacity 451
to ?.nn lhc:",,Each,,Retail less 36%,Certification required
K0884,NU,"PWC, group 4 standard, multiple power option, sling/solid seat and back,
capacity up to and including 1nn Inc:",,Each,,Retail less 36%,Certification required
K0885,NU,"Power wheelchair, group 4 standard, multiple power option, captain's chair,
capacity up to and including 1nn1nc:",,Each,,Retail less 36%,Certification required
K0886,NU,"Power wheelchair, group 4 heavy duty, multiple power option, sling/solid seat and back, capacity 301 to 450
Inc",,Each,,Retail less 36%,Certification required
K0890,NU,"Power wheelchair, group 5 pediatric, single power option, sling/solid seat and back, capacity up to and
inl""'l11rlinn 1 ?t; Inc",,Each,,Retail less 36%,Certification required
K0891,NU,"PWC, group 5 pediatric, multiple power option, sling/solid seat and back, capacity up to and including
1?c; lhc:.",,Each,,Retail less 36%,Certification required
K0898,NU,Power wheelchair not otherwise classified,,Each,,Retail less 36%,Certification required
K0899,NU,"Power mobility device, not coded by dme pdac or does not meet criteria",,Each,,Retail less 36%,Certification required
L0112-L2861,NU,Orthotics,,Each,,Medicare Allowable less 20%,LO130-L2861- certification required if over $370 (contract rate); excludes L1810-L1860)
L2999,NU,"Lower extremity orthosis, NOS",,Each,,Retail less 25%,Certification required
L3000-L4631,NU,Orthotic procedures and devices,,Each,,Medicare Allowable less 20%,"Certification required if over
$370 (contract rate)"
L8300-L8485,NU,Trusses and prosthetic socks,,Each,,Medicare Allowable less 20%,Certification required
S8265,NU,Haberman feeder,,Each,,Retail less 25%,
